species,comName,locName,lat,lng,obsDt,fetched_at
creeag1,Crested Eagle,Parque Nacional do Descobrimento,-17.0873839,-39.2475952,2025-11-16 07:30,
orheag1,Ornate Hawk-Eagle,"Rio Grande do Sul, BR (-28,315, -50,741)",-28.3147563,-50.7408851,2025-11-29 11:18,
orheag1,Ornate Hawk-Eagle,FLONA São Francisco de Paula,-29.4238507,-50.3867683,2025-11-19 10:50,
orheag1,Ornate Hawk-Eagle,Parque (Fazenda Ressaca),-26.7926983,-51.983615,2025-11-26 13:56,
orheag1,Ornate Hawk-Eagle,Reserva Araponga (acesso restrito),-27.9863022,-49.3048021,2025-11-25 04:55,
orheag1,Ornate Hawk-Eagle,PE das Araucárias,-26.4621863,-52.5688952,2025-11-15 15:09,
orheag1,Ornate Hawk-Eagle,"Rua Eugênio Fassarela, Espírito Santo, BR (-20,512, -41,005)",-20.5117971,-41.0049089,2025-12-07 08:05,
orheag1,Ornate Hawk-Eagle,Legado das Águas--Sede (Miracatu),-24.0301824,-47.3524609,2025-12-07 05:36,
orheag1,Ornate Hawk-Eagle,Legado das Águas,-24.0463847,-47.3921385,2025-12-02 14:51,
orheag1,Ornate Hawk-Eagle,PE Intervales--Estrada do Carmo,-24.29525,-48.41956,2025-11-28 06:23,
orheag1,Ornate Hawk-Eagle,Legado das Águas--Trilha da Figueira Centenária,-24.03051,-47.358276,2025-11-27 10:05,
orheag1,Ornate Hawk-Eagle,Legado das Águas--Estradas de acesso à sede,-24.0269671,-47.3539457,2025-11-27 06:44,
orheag1,Ornate Hawk-Eagle,PE Serra do Mar--Núcleo São Sebastião (Trilha Água Branca),-23.7241474,-45.75358,2025-11-22 08:56,
orheag1,Ornate Hawk-Eagle,"Legado das Aguas--estrada de acesso (-24.011, -47.298)",-24.0106736,-47.2981115,2025-11-21 09:41,
orheag1,Ornate Hawk-Eagle,Legado das Águas--Trilha Poço do Cambuci,-24.0298,-47.350825,2025-11-19 18:25,
orheag1,Ornate Hawk-Eagle,Iporanga--Reserva Betary,-24.5880848,-48.6288705,2025-11-19 08:36,
orheag1,Ornate Hawk-Eagle,Bodoquena--Fazenda Boca da Onça,-20.7397399,-56.7310059,2025-12-11 08:10,
blheag1,Black Hawk-Eagle,Guaraqueçaba--área geral,-25.296489,-48.327899,2025-12-13 11:22,
blheag1,Black Hawk-Eagle,Ponta Grossa/PR - Residencial Fontana Di Trevi,-25.0729123,-50.1416166,2025-12-07 09:13,
blheag1,Black Hawk-Eagle,Curitiba--Zoológico Municipal,-25.56056,-49.232204,2025-11-30 10:20,
blheag1,Black Hawk-Eagle,Cascavel - Ponte Molhada,-25.071071,-53.260259,2025-11-29 11:40,
blheag1,Black Hawk-Eagle,Curitiba--REVIS do Bugio e adjacentes,-25.6236135,-49.3313785,2025-11-27 05:59,
blheag1,Black Hawk-Eagle,Volta da Vitória,-28.3516847,-54.3843789,2025-11-30 07:00,
blheag1,Black Hawk-Eagle,REVIS Meiembipe--Morro da Cachoeira e Morro das Feiticeiras,-27.4185509,-48.4106915,2025-12-08 12:43,
blheag1,Black Hawk-Eagle,Alfredo Wagner--Mirada do Guardião Camping e Chalés,-27.7998143,-49.2983446,2025-12-07 09:29,
blheag1,Black Hawk-Eagle,Estância Itaperuna/ Propriedade Particular (Entrada Somente Com Autorização),-26.5603983,-49.5269411,2025-11-30 14:01,
blheag1,Black Hawk-Eagle,"Espírito Santo, BR (-20,502, -41,039) Santi",-20.5017609,-41.039082,2025-12-09 19:29,
blheag1,Black Hawk-Eagle,"Rua Eugênio Fassarela, Espírito Santo, BR (-20,512, -41,005)",-20.5117971,-41.0049089,2025-12-07 08:05,
blheag1,Black Hawk-Eagle,Gonçalves--Espaço Kalevala,-22.7339437,-45.8215887,2025-12-12 08:17,
blheag1,Black Hawk-Eagle,São Gonçalo do Rio Abaixo--Floresta Encantada,-19.8796127,-43.2015098,2025-12-08 06:32,
blheag1,Black Hawk-Eagle,"Rodovia Rodolpho Martins do Amaral, Minas Gerais, BR (-21,157, -43,562)",-21.1574388,-43.5615115,2025-12-07 06:32,
blheag1,Black Hawk-Eagle,"Minas Gerais, BR (-19,048, -81,128)",-19.0481968,-41.1278818,2025-12-04 17:29,
blheag1,Black Hawk-Eagle,Mata Morro dos Macacos,-20.7541212,-41.9337184,2025-11-21 08:33,
blheag1,Black Hawk-Eagle,Tarituba,-22.9977178,-44.5732278,2025-12-07 13:49,
blheag1,Black Hawk-Eagle,Trilha Aventureiro X Provetá,-23.1892729,-44.319113,2025-12-07 06:16,
blheag1,Black Hawk-Eagle,PARNASO,-22.4493682,-42.985146,2025-12-05 05:00,
blheag1,Black Hawk-Eagle,PN da Tijuca--Estrada do Redentor,-22.957066,-43.252216,2025-11-29 07:59,
blheag1,Black Hawk-Eagle,PN da Tijuca--Estrada do Sumaré,-22.9522287,-43.233819,2025-11-29 07:59,
blheag1,Black Hawk-Eagle,"25750-050, Petrópolis BR-RJ -22.33300, -43.10119",-22.333002,-43.101193,2025-11-22 07:01,
blheag1,Black Hawk-Eagle,Rio Claro (RJ)--Parque Arqueológico e Ambiental São Marcos,-22.7997443,-44.0303147,2025-11-21 08:06,
blheag1,Black Hawk-Eagle,Silva Jardim,-22.6544066,-42.4109129,2025-11-20 08:38,
blheag1,Black Hawk-Eagle,Nova Friburgo--Ecolodge Itororó,-22.3102959,-42.49676,2025-11-18 06:39,
blheag1,Black Hawk-Eagle,Santa Isabel--Estrada Cruz Santa,-23.3955221,-46.2593213,2025-12-12 06:00,
blheag1,Black Hawk-Eagle,Parque Natural Municipal Itaim,-23.8187987,-46.7248106,2025-12-08 08:43,
blheag1,Black Hawk-Eagle,Juquitiba--Sítio Espinheiro Negro (Núcleo Juquitiba),-24.0015501,-47.1281793,2025-12-07 09:34,
blheag1,Black Hawk-Eagle,Mogi Das Cruzes--Brejinho de Cesar de Souza,-23.5315564,-46.1437295,2025-12-07 09:05,
blheag1,Black Hawk-Eagle,Vila Verde,-23.591095,-46.9640808,2025-12-06 09:10,
blheag1,Black Hawk-Eagle,Tapiraí--listas históricas (use um local mais preciso),-23.9629577,-47.5067386,2025-12-06 05:57,
blheag1,Black Hawk-Eagle,Bairro Girassol - São Lourenço da Serra,-23.852198,-46.9353186,2025-12-04 17:26,
blheag1,Black Hawk-Eagle,Legado das Águas,-24.0463847,-47.3921385,2025-12-03 14:35,
blheag1,Black Hawk-Eagle,Trilha Das Cachoeiras Pesm,-23.2769136,-45.0375543,2025-12-03 10:06,
blheag1,Black Hawk-Eagle,São Roque--AREPC Colina,-23.6372583,-47.1100506,2025-12-01 09:41,
blheag1,Black Hawk-Eagle,Piedade--Sítio Terra Querência,-23.6436416,-47.4324949,2025-12-01 08:23,
blheag1,Black Hawk-Eagle,Bonilha,-23.7315914,-46.5201263,2025-12-01 07:01,
blheag1,Black Hawk-Eagle,PE da Cantareira--Núcleo Pedra Grande,-23.4522231,-46.6363192,2025-11-30 09:35,
blheag1,Black Hawk-Eagle,PE Serra do Mar--Casa da Farinha,-23.34044,-44.837917,2025-11-30 05:10,
blheag1,Black Hawk-Eagle,Itanhaém--Caminho das Cachoeiras,-24.0349329,-46.7259565,2025-11-29 13:35,
blheag1,Black Hawk-Eagle,Tapiraí--Fazenda Maria-Leque,-24.06115,-47.5923979,2025-11-29 11:48,
blheag1,Black Hawk-Eagle,Santa Branca--Sitio Cio da Terra,-23.470962,-45.8980465,2025-11-29 08:05,
blheag1,Black Hawk-Eagle,Santa Branca,-23.4522047,-45.8674572,2025-11-29 07:45,
blheag1,Black Hawk-Eagle,"Estrada sem nome, São Paulo, BR (-23,971, -47,542)bairro Jatoba",-23.9714753,-47.542057,2025-11-28 11:59,
blheag1,Black Hawk-Eagle,Paque Natural Municipal Jaceguava,-23.7722743,-46.7719959,2025-11-28 11:41,
blheag1,Black Hawk-Eagle,"Jacarei--Fazenda Caiçara ( Rota: Bandeira Branca, Bom Jesus, Estrada da Balsa, Estrada Fazenda Caiçara)",-23.33771,-45.9935717,2025-11-28 08:14,
blheag1,Black Hawk-Eagle,Tapiraí - SP - Trilha dos Tucanos,-24.0041308,-47.5618851,2025-11-28 06:30,
blheag1,Black Hawk-Eagle,PE Intervales--Estrada do Carmo,-24.29525,-48.41956,2025-11-28 06:23,
blheag1,Black Hawk-Eagle,Juquitiba--Sítio Morada dos Guardiões,-24.0028551,-47.0761803,2025-11-27 07:35,
blheag1,Black Hawk-Eagle,Serra do Japi--Base Ecológica (acesso restrito),-23.2452696,-46.9368728,2025-11-27 05:06,
blheag1,Black Hawk-Eagle,Legado Das Águas--Sentido Fumaça,-24.0193167,-47.337495,2025-11-26 09:17,
blheag1,Black Hawk-Eagle,São Roque--PNM Mata da Câmara,-23.5271676,-47.1144055,2025-11-26 08:40,
blheag1,Black Hawk-Eagle,Estrada Municipal Tomé Antonio Moreira,-23.4256402,-46.1319996,2025-11-26 07:27,
blheag1,Black Hawk-Eagle,PE Serra do Mar--Núcleo Padre Dória,-23.6157048,-45.7744074,2025-11-26 05:58,
blheag1,Black Hawk-Eagle,São Roque--Vila Darcy Penteado,-23.5366845,-47.0782399,2025-11-25 13:10,
blheag1,Black Hawk-Eagle,São Paulo--SESC Itaquera,-23.5823955,-46.4718246,2025-11-23 14:00,
blheag1,Black Hawk-Eagle,"Estrada das Pedrinhas, São Paulo, BR (-23,717, -46,258)",-23.7166823,-46.2576982,2025-11-23 10:21,
blheag1,Black Hawk-Eagle,Ubatuba--Fazenda Angelim,-23.3972349,-45.0641004,2025-11-22 08:31,
blheag1,Black Hawk-Eagle,Casa Cunha,-23.1949348,-44.9440512,2025-11-21 13:55,
blheag1,Black Hawk-Eagle,"São Paulo, BR (-24.035, -47.368)",-24.0345494,-47.3677368,2025-11-21 11:18,
blheag1,Black Hawk-Eagle,"Estrada para O Pico do Itapeva, São Paulo, BR (-22.759, -45.515)",-22.758664,-45.5151156,2025-11-21 09:24,
blheag1,Black Hawk-Eagle,Silveiras--Bairro das Caneleiras,-22.8230096,-44.90274,2025-11-21 08:40,
blheag1,Black Hawk-Eagle,Santa Branca--Sítio Coruscante,-23.4883351,-45.8049994,2025-11-21 07:41,
blheag1,Black Hawk-Eagle,Pousada Oikos,-23.3197341,-45.16324,2025-11-21 07:41,
blheag1,Black Hawk-Eagle,Arrozais de Tremembé--Estrada do Kanegae,-22.9304527,-45.5728447,2025-11-21 07:09,
blheag1,Black Hawk-Eagle,legado das águas,-24.0418777,-47.3766518,2025-11-21 05:07,
blheag1,Black Hawk-Eagle,"2-216 Rua Serra de Itabera 806, São Paulo, BR (-23,335, -46,621)",-23.3352701,-46.6206003,2025-11-20 14:07,
blheag1,Black Hawk-Eagle,Guararema--Cachoeira do Putim,-23.42857,-45.97437,2025-11-20 13:00,
blheag1,Black Hawk-Eagle,Tapiraí--Trilha dos Tucanos Lodge,-24.0036604,-47.5611877,2025-11-20 09:02,
blheag1,Black Hawk-Eagle,PE da Cantareira--Núcleo Engordador,-23.4044781,-46.5867113,2025-11-20 08:51,
blheag1,Black Hawk-Eagle,Cachoeira Paulista--Grotão Do Surucua,-22.834995,-44.895525,2025-11-20 08:32,
blheag1,Black Hawk-Eagle,Legado das Águas--Estrada Dezembro (acesso restrito),-24.07754,-47.451189,2025-11-20 08:06,
blheag1,Black Hawk-Eagle,Tapiraí--Casa da Mata,-24.0550067,-47.5710815,2025-11-20,
blheag1,Black Hawk-Eagle,Tapiraí--Pousada Recanto dos Pinheiros,-23.937369,-47.614661,2025-11-19 16:04,
blheag1,Black Hawk-Eagle,"km 25 Estrada Municipal, São Paulo, BR (-24.273, -48.416)",-24.2727957,-48.4157609,2025-11-19 07:05,
blheag1,Black Hawk-Eagle,São Paulo--Vila Esperança,-23.5232709,-46.5287813,2025-11-16 07:03,
blheag1,Black Hawk-Eagle,"Bahia, BR (-14.488, -39.132)",-14.4878716,-39.1322594,2025-12-13 07:41,
blheag1,Black Hawk-Eagle,PE da Serra do Conduru,-14.492222,-39.135833,2025-12-13 07:01,
blheag1,Black Hawk-Eagle,"Praça Da Igreja 1 Rua Dom Eduardo, Bahia, BR (-14,799, -39,032)",-14.799352,-39.0322147,2025-12-04 07:25,
blheag1,Black Hawk-Eagle,"BA-672, Bahia, BR (-15,312, -39,082)",-15.3119372,-39.0818691,2025-12-03 10:21,
blheag1,Black Hawk-Eagle,Parque Nacional da Serra das Lontras--área geral,-15.1645125,-39.3459034,2025-11-18 07:28,
blheag1,Black Hawk-Eagle,Una--BA,-15.0830382,-39.2908562,2025-11-18 05:59,
blheag1,Black Hawk-Eagle,ESEC Murici--Flexeiras,-9.241754,-35.784163,2025-11-29 09:35,
blheag1,Black Hawk-Eagle,RPPN Pedra D'Antas--Agrofloresta da SAVE Brasil (UD 4),-8.693588,-35.8561104,2025-12-12 06:20,
blheag1,Black Hawk-Eagle,Parque Natural Municipal do Pombo,-20.3739483,-52.6011817,2025-11-23 15:36,
blheag1,Black Hawk-Eagle,Três Lagoas--Parque Natural Municipal do Pombo,-20.373636,-52.6009136,2025-11-23 08:46,
bawhae1,Black-and-white Hawk-Eagle,Foz do Iguaçu--Centro de Altos Estudos da Conscienciologia,-25.5551266,-54.5213493,2025-11-29 12:11,
bawhae1,Black-and-white Hawk-Eagle,"02 PR-340, Paraná, BR (-25,25, -48,749)",-25.2498631,-48.7491889,2025-11-22 06:51,
bawhae1,Black-and-white Hawk-Eagle,Antonina--Pousada Vila Flor,-25.2401931,-48.757925,2025-11-22 06:46,
bawhae1,Black-and-white Hawk-Eagle,"Rodovia Luís Bertoli, Santa Catarina, BR (-26,495, -51,158)",-26.494816,-51.1581413,2025-11-19 10:26,
bawhae1,Black-and-white Hawk-Eagle,Abelardo Luz--Parque das Quedas do Rio Chapecó,-26.5476943,-52.3243434,2025-11-16 17:07,
bawhae1,Black-and-white Hawk-Eagle,Linhares--Reserva Natural Vale,-19.1504872,-40.0681686,2025-11-16 10:51,
bawhae1,Black-and-white Hawk-Eagle,Armação dos Búzios--Lagoas da Praia da Ferradura,-22.7673758,-41.8885676,2025-11-30 08:15,
bawhae1,Black-and-white Hawk-Eagle,Nova Friburgo--estrada para o Pico da Caledônia,-22.3423655,-42.5848156,2025-11-28 07:52,
bawhae1,Black-and-white Hawk-Eagle,Ponte Bela / Rio Claro - RJ,-22.8201342,-44.0219937,2025-11-28 07:31,
bawhae1,Black-and-white Hawk-Eagle,Córrego da Luz--área geral,-22.4489185,-42.2064471,2025-11-28 07:03,
bawhae1,Black-and-white Hawk-Eagle,REGUA -- Waldenoor Trail,-22.421257,-42.8156,2025-11-21 07:46,
bawhae1,Black-and-white Hawk-Eagle,PE dos Três Picos--Boca do Mato,-22.4184638,-42.6112948,2025-11-20 08:11,
bawhae1,Black-and-white Hawk-Eagle,Macaé de Cima,-22.37579,-42.49221,2025-11-17 14:00,
bawhae1,Black-and-white Hawk-Eagle,Legado das Águas,-24.0463847,-47.3921385,2025-12-01 15:50,
bawhae1,Black-and-white Hawk-Eagle,Legado das Águas--Trilha da Figueira Centenária,-24.03051,-47.358276,2025-11-27 10:05,
bawhae1,Black-and-white Hawk-Eagle,Legado das Águas--Pedreira (Tapiraí),-24.032922,-47.367843,2025-11-26 16:35,
bawhae1,Black-and-white Hawk-Eagle,PE Serra do Mar--Casa da Farinha,-23.34044,-44.837917,2025-11-23 10:00,
bawhae1,Black-and-white Hawk-Eagle,Serra do Japi--estrada do Caguaçu,-23.2766092,-46.9315241,2025-11-23 08:26,
bawhae1,Black-and-white Hawk-Eagle,Legado das Águas--Estrada Dezembro (acesso restrito),-24.07754,-47.451189,2025-11-20 08:06,
bawhae1,Black-and-white Hawk-Eagle,Legado das Águas--Sede (Miracatu),-24.0301824,-47.3524609,2025-11-19 05:00,
bawhae1,Black-and-white Hawk-Eagle,RPPN Serra Bonita (acesso restrito),-15.3919563,-39.5644283,2025-12-14 14:58,
bawhae1,Black-and-white Hawk-Eagle,RPPN Serra Bonita--Nalva's Farm  (restricted access),-15.3837,-39.5648,2025-12-14 14:58,
bawhae1,Black-and-white Hawk-Eagle,RPPN Serra Bonita--Summit Trail  (restricted access),-15.3813,-39.5686,2025-12-14 06:35,
bawhae1,Black-and-white Hawk-Eagle,Fazenda Santo Antonio,-15.4056513,-39.5342803,2025-11-28 08:42,
bawhae1,Black-and-white Hawk-Eagle,Fazenda Paris--Trilha da Gendiba (acesso restrito),-15.4221,-39.5417,2025-11-28 06:48,
bawhae1,Black-and-white Hawk-Eagle,Prado--PARNA Descobrimento - Mirante,-17.0905582,-39.3255439,2025-11-20 06:41,
bawhae1,Black-and-white Hawk-Eagle,"45885-000, Camacan BR-BA -15.33776, -39.49976",-15.337756,-39.499761,2025-11-18 10:04,
bawhae1,Black-and-white Hawk-Eagle,Parque Nacional da Serra das Lontras--área geral,-15.1645125,-39.3459034,2025-11-18 07:28,
bawhae1,Black-and-white Hawk-Eagle,Una--BA,-15.0830382,-39.2908562,2025-11-18 05:59,
bawhae1,Black-and-white Hawk-Eagle,"Parque Nacional e Históricodomontepascoal (-16,888, -39,415)",-16.8881712,-39.4146917,2025-11-17 10:58,
blheag1,Black Hawk-Eagle,RPPN Pedra D'Antas,-8.6963418,-35.8592033,2025-12-14 07:15,
bawhae1,Black-and-white Hawk-Eagle,Bertioga--Vila de Itatinga,-23.8263757,-46.1501527,2025-12-14 07:00,
orheag1,Ornate Hawk-Eagle,Trilha da Cachoeira Do Bananal - Parque Estadual De Ilhabela,-23.8021684,-45.3547842,2025-12-12 08:50,
blheag1,Black Hawk-Eagle,REVIS Meiembipe--Morro da Cachoeira e Morro das Feiticeiras,-27.4185509,-48.4106915,2025-12-15 10:51,
blheag1,Black Hawk-Eagle,Parque Natural Municipal Itaim,-23.8187987,-46.7248106,2025-12-14 06:46,
blheag1,Black Hawk-Eagle,Recanto da Preguiça - Haras De Aldeia-PE,-7.9054134,-35.0717656,2025-12-16 10:20,
bawhae1,Black-and-white Hawk-Eagle,"29650-000, Santa Teresa BR-ES -19.90779, -40.51159",-19.907787,-40.511587,2025-12-16 08:39,
bawhae1,Black-and-white Hawk-Eagle,"Sítio Ninho das Aves, Altos de Lumiar - Nova Friburgo, RJ",-22.3918517,-42.3543959,2025-12-16 04:52,
bawhae1,Black-and-white Hawk-Eagle,"Birdwatching Altos de Lumiar-Sitio Ninho das Aves-Nova Friburgo,RJ",-22.391795,-42.354088,2025-12-16 04:51,

blheag1,Black Hawk-Eagle,Botucatu--Angá Paisagismo,-22.878342,-48.454299,2025-12-17 11:38,2025-12-18T06:27:02.316382
blheag1,Black Hawk-Eagle,Santo André--Caminho do Sal,-23.7984518,-46.4259846,2025-12-17 11:22,2025-12-18T06:27:02.316392
blheag1,Black Hawk-Eagle,Parque Natural Municipal Itaim,-23.8187987,-46.7248106,2025-12-17 09:46,2025-12-18T06:27:02.316395
blheag1,Black Hawk-Eagle,Tapiraí--Trilha dos Tucanos Lodge,-24.0036604,-47.5611877,2025-12-17 05:15,2025-12-18T06:27:02.316398
blheag1,Black Hawk-Eagle,Ilhéus--campus UESC,-14.7962012,-39.1743064,2025-12-17 07:57,2025-12-18T06:27:02.316469
blheag1,Black Hawk-Eagle,Jardim Itaipu-Dourados/MS,-22.2116328,-54.8253628,2025-12-11 22:25,2025-12-18T06:27:02.316488
bawhae1,Black-and-white Hawk-Eagle,Nova Friburgo--Sítio Ninho das Aves,-22.391795,-42.354088,2025-12-16 04:51,2025-12-18T06:27:05.450284
hareag1,Harpy Eagle,Santa Cruz Cabrália--RPPN Estação Veracel,-16.355684,-39.134339,2025-12-09 06:43,2025-12-19T06:26:14.468952
hareag1,Harpy Eagle,Porto Seguro--RPPN Estação Veracel,-16.3876004,-39.1697613,2025-12-09 05:52,2025-12-19T06:26:14.468965
blheag1,Black Hawk-Eagle,Parque Natural Municipal Itaim,-23.8187987,-46.7248106,2025-12-18 06:52,2025-12-19T06:26:19.077612
blheag1,Black Hawk-Eagle,Tapiraí--Sítio Biota,-24.0085479,-47.4943756,2025-12-18 06:00,2025-12-19T06:26:19.077620
blheag1,Black Hawk-Eagle,Cachoeira Paulista--Grotao Do Surucuá,-22.8366852,-44.8982002,2025-12-12 09:22,2025-12-19T06:26:19.077629
blheag1,Black Hawk-Eagle,Santa Branca--Sítio Monte Coruscante,-23.4883351,-45.8049994,2025-11-21 07:41,2025-12-19T06:26:19.077688
bawhae1,Black-and-white Hawk-Eagle,"São Paulo, BR (-22,559, -45,144)",-22.5589226,-45.1442593,2025-12-18 11:29,2025-12-19T06:26:20.543370
blheag1,Black Hawk-Eagle,"2-216 Rua Serra de Itabera 806, São Paulo, BR (-23,335, -46,621)",-23.3352701,-46.6206003,2025-12-19 14:44,2025-12-20T06:24:38.079498
bawhae1,Black-and-white Hawk-Eagle,Parque Nacional da Serra da Bocaina,-23.1376324,-44.8017905,2025-12-18 04:41,2025-12-20T06:24:41.710814
blheag1,Black Hawk-Eagle,Legado das Águas--Pedreira (Tapiraí),-24.032922,-47.367843,2025-12-20 15:38,2025-12-21T06:24:28.377646
blheag1,Black Hawk-Eagle,Salesópolis--Sítio Macuquinho,-23.584933,-45.824401,2025-12-20 11:11,2025-12-21T06:24:28.377660
blheag1,Black Hawk-Eagle,Biritiba Mirim - Área Geral,-23.5708792,-46.0421109,2025-12-20 09:29,2025-12-21T06:24:28.377664
blheag1,Black Hawk-Eagle,PE da Cantareira--Núcleo Pedra Grande,-23.4522231,-46.6363192,2025-12-20 08:16,2025-12-21T06:24:28.377667
blheag1,Black Hawk-Eagle,Bairro Sítio Verde,-24.0364002,-47.4190057,2025-12-20 07:51,2025-12-21T06:24:28.377670
blheag1,Black Hawk-Eagle,Suzano--Sítio Kudamatsu,-23.5620509,-46.3264399,2025-12-20 06:58,2025-12-21T06:24:28.377673
blheag1,Black Hawk-Eagle,Parque Natural Municipal Itaim,-23.8187987,-46.7248106,2025-12-20 06:42,2025-12-21T06:24:28.377676
blheag1,Black Hawk-Eagle,"Maria Augusta/Tamoios (Próximo ao Rio Tavares) - Ubatuba - São Paulo, BR (-23,447, -45,072)",-23.4469874,-45.0722389,2025-12-20 06:33,2025-12-21T06:24:28.377679
blheag1,Black Hawk-Eagle,Privê Haras de Aldeia,-7.9058641,-35.0727611,2025-12-20 08:27,2025-12-21T06:24:28.377762
bawhae1,Black-and-white Hawk-Eagle,Cabreúva--Estrada do Pirahy,-23.3157806,-47.160107,2025-12-20 07:10,2025-12-21T06:24:31.330594
orheag1,Ornate Hawk-Eagle,PE das Araucárias,-26.4621863,-52.5688952,2025-12-19 08:55,2025-12-22T06:28:18.008337
orheag1,Ornate Hawk-Eagle,Casa Aline,-15.8867538,-46.274753,2025-12-20 08:59,2025-12-22T06:28:18.008360
blheag1,Black Hawk-Eagle,Antonina--área geral,-25.431241,-48.710011,2025-12-20 05:24,2025-12-22T06:28:18.954002
blheag1,Black Hawk-Eagle,Gonçalves--Espaço Kalevala,-22.7339437,-45.8215887,2025-12-12 08:23,2025-12-22T06:28:18.954039
blheag1,Black Hawk-Eagle,Jacareí--Estrada do Remedinho,-23.2526068,-45.9955937,2025-12-21 07:45,2025-12-22T06:28:18.954062
blheag1,Black Hawk-Eagle,RPPN Sítio Curucutu,-23.8929973,-46.6188888,2025-12-21 07:40,2025-12-22T06:28:18.954066
blheag1,Black Hawk-Eagle,"Jacarei-(Bandeira Branca->Bom Jesus->,Estrada dos Cobra-Fazenda Caiçara)",-23.3378867,-45.9933833,2025-12-21 07:31,2025-12-22T06:28:18.954069
